id,name,type,party
ul,Ursula von der Leyen,1,cdu
lk,Lars Kingbeil,1,spd
nr,Norbert Röttgen,1,cdu
sw,Sara Wagenknecht,1,linke
cs,Constanze Stelzelmüller,2,
cl,Christian Lindner,1,fdp
ks,Karl Schlögel,2,
lm,Ljudmyla Melnyk,2,
kd,Kristina Dunz,2,
el,Egils Levits ,2,
ab,Annalena Baerbock,1,grüne
ft,Frans Timmermans,2,
am,Andrij Melnyk,2,
al,Alexander Graf Lambsdorff,1,fdp
er,Egon Ramms,2,
rh,Robert Habeck,1,grüne
cm,Claudia Major,2,
kp,Katja Petrowskaja,2,
rk,Roderich Kiesewetter,1,cdu
cdu,cdu,1,cdu
spd,spd,1,spd
grüne,grüne,1,grüne
linke,linke,1,linke
fdp,fdp,1,fdp
500,Folge 500,,
501,Folge 501,,
502,Folge 502,,
503,Folge 503,,